algorithm;timed out;problem instance;filename;average probability of being unavailable at any given time slot;constraint violation cost;formulation;maximum random cost of being unavailable at any given time slot;number of agents;number of agents per meeting;number of meetings;number of time slots;target probability of being unavailable at any given time slot;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;1;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
DPOP;0;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;62;16;4016;465;1;0;0
P-DPOP;1;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
P-DPOP;0;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;437;1810;32484;813;1;0;0
P2-DPOP;1;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
P2-DPOP;0;randomMeetingScheduling_1576938175207;meetingScheduling_PEAV.xml;0.0;infinity;PEAV;null;3;2;2;8;0.0;0;3307;3066;2120298;34078;2;0;0
MPC-DisCSP4;1;randomMeetingScheduling_1576938175207;meetingScheduling_EAV.xml;0.0;infinity;EAV;null;3;2;2;8;0.0;9223372036854775807;9223372036854775807;2147483647;9223372036854775807;9223372036854775807;2147483647;NaN;NaN
